,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Trades*Price,Day_Perc_Change,Trend
224,FORTIS,EQ,2018-04-06,137.85,139.0,144.95,134.6,        138.60,138.8,141.1,21556741,3041747282.4,95399,6813946,31.61,2018,4,13241381.200000001,0.006891548784911272,Slight or No change
225,FORTIS,EQ,2018-04-09,138.8,139.6,144.9,138.6,        141.85,141.8,141.84,9523568,1350798318.45,50525,3262914,34.26,2018,4,7164445.000000001,0.021613832853025983,Slight or No change
226,FORTIS,EQ,2018-04-10,141.8,142.9,147.9,138.85,        147.00,146.6,144.24,11570592,1668967077.05,53282,3473624,30.02,2018,4,7811141.199999999,0.03385049365303239,Slight or No change
227,FORTIS,EQ,2018-04-11,146.6,152.0,152.0,144.3,        147.35,147.85,147.99,29264715,4330879724.8,122154,8800008,30.07,2018,4,18060468.9,0.008526603001364208,Slight or No change
228,FORTIS,EQ,2018-04-12,147.85,147.5,154.7,147.5,        153.85,153.9,151.93,19813729,3010370875.75,119406,6515195,32.88,2018,4,18376583.400000002,0.04091985120054109,Slight or No change
229,FORTIS,EQ,2018-04-13,153.9,156.8,157.4,150.1,        151.35,152.05,154.21,13170032,2030892024.25,66117,3265508,24.79,2018,4,10053089.850000001,-0.01202079272254708,Slight or No change
230,FORTIS,EQ,2018-04-16,152.05,152.0,152.65,147.0,        147.75,148.75,149.13,6340680,945592968.65,31786,1899569,29.96,2018,4,4728167.5,-0.021703387043735645,Slight or No change
231,FORTIS,EQ,2018-04-17,148.75,149.2,150.2,143.0,        144.40,144.5,145.92,9635835,1406030512.5,65400,5025753,52.16,2018,4,9450300.0,-0.02857142857142858,Slight or No change
232,FORTIS,EQ,2018-04-18,144.5,146.3,148.0,144.1,        144.85,144.85,146.25,5800737,848369176.55,36354,1658998,28.6,2018,4,5265876.899999999,0.0024221453287196493,Slight or No change
233,FORTIS,EQ,2018-04-19,144.85,147.5,152.3,145.2,        148.15,148.45,147.97,9614244,1422663386.3,47803,3412520,35.49,2018,4,7096355.35,0.02485329651363477,Slight or No change
234,FORTIS,EQ,2018-04-20,148.45,149.4,153.3,148.05,        149.55,149.65,150.32,7969761,1198032504.05,48394,2688504,33.73,2018,4,7242162.100000001,0.008083529808016188,Slight or No change
235,FORTIS,EQ,2018-04-23,149.65,149.5,151.95,149.0,        150.80,150.45,150.48,3283918,494159201.85,27867,1064649,32.42,2018,4,4192590.15,0.005345806882726345,Slight or No change
236,FORTIS,EQ,2018-04-24,150.45,151.2,154.4,149.8,        151.90,151.9,151.93,3951002,600264461.85,22115,1524273,38.58,2018,4,3359268.5,0.009637753406447347,Slight or No change
237,FORTIS,EQ,2018-04-25,151.9,153.0,154.4,150.35,        152.40,152.65,152.26,7526133,1145892369.65,58522,2869625,38.13,2018,4,8933383.3,0.004937458854509469,Slight or No change
238,FORTIS,EQ,2018-04-26,152.65,152.0,152.75,149.2,        150.00,150.15,150.61,3502302,527471064.65,22802,1526454,43.58,2018,4,3423720.3000000003,-0.01637733377006223,Slight or No change
239,FORTIS,EQ,2018-04-27,150.15,151.3,154.9,150.55,        153.75,153.9,152.78,4339254,662934643.85,27910,2152248,49.6,2018,4,4295349.0,0.024975024975024906,Slight or No change
240,FORTIS,EQ,2018-04-30,153.9,154.0,154.0,151.5,        152.25,152.4,152.45,2392384,364714859.75,30124,1345360,56.24,2018,4,4590897.600000001,-0.00974658869395717,Slight or No change
241,FORTIS,EQ,2018-05-02,152.4,156.0,160.5,155.6,        158.80,158.9,158.66,9977663,1583030921.85,49893,4655557,46.66,2018,5,7927997.7,0.042650918635170676,Slight or No change
242,FORTIS,EQ,2018-05-03,158.9,158.0,160.95,156.25,        157.95,157.85,157.34,37053894,5830244179.4,66962,32934393,88.88,2018,5,10569951.7,-0.0066079295154185536,Slight or No change
243,FORTIS,EQ,2018-05-04,157.85,158.0,159.45,155.1,        157.95,157.95,157.61,5365729,845693541.25,69877,2805998,52.29,2018,5,11037072.149999999,0.0006335128286347746,Slight or No change
